,type,id,eqn,val,std,lb,ub,unit,free,alf,chi2s,cont,cor,cov,vals,base
0,Net flux,v1,Gluc.ext + PEP -> G6P + Pyr,1.5265940336616024,0.009367089655752841,1.5028462537527503,1.5630732251168649,,0,0.05,"[304.96655007 304.19812493 303.49955285 302.74280678 301.97663732
 301.21141857 300.45952296 301.48195244 300.79400099 300.79400099
 292.47941216 293.15442915 293.81774722 294.07973102 294.75303679
 295.41812265 295.79783447 296.39481424 297.12795528 297.81692012
 298.45705511 299.13782861 299.85524765 300.62719271 300.84022404
 301.56980719 301.7392769  302.46005007 303.22842383 303.94440625
 304.63981639]",0,"[ 1.00000000e+00  5.85993363e-01  3.67956240e-03 -7.65388311e-03
 -7.65388311e-03  3.44826794e-03 -7.65388311e-03 -3.35466806e-04
  3.76113747e-01 -2.06826067e-01  2.65677177e-01  1.05516968e-03
  3.31920370e-03  1.73913327e-02 -3.82788550e-01 -4.21761056e-01
 -3.35805047e-01 -2.99642237e-01  1.29488833e-01 -4.21761056e-01
 -2.99006933e-01  4.40604792e-01  7.72317975e-04  4.02428025e-01
 -9.87838506e-05  4.02428025e-01 -1.70995052e-02 -4.02428025e-01
 -1.35117900e-01  4.23109131e-01  4.23109131e-01  2.83533708e-01
  3.73005867e-01  3.73005867e-01 -6.14058654e-04  4.66269869e-02
 -2.86483444e-03  4.85617549e-03 -1.34652752e-02 -1.73715629e-02
  2.78134219e-01 -2.26754852e-11  3.11716640e-01 -3.68820630e-05
  3.60919146e-01 -4.68959324e-10  9.70600088e-02 -8.26907272e-02
  9.70600088e-02  4.30387711e-01 -5.22736266e-01 -4.42317580e-02
  1.15092812e-01 -7.04871359e-02  2.05460505e-02  9.23222466e-01
  9.23223047e-01  9.23223047e-01  9.23223047e-01  9.23218616e-01
  9.23223047e-01  9.23223047e-01  9.23226223e-01  9.23228483e-01
  9.23547021e-01 -9.23491948e-01  9.23263035e-01 -9.23284544e-01
  9.23223047e-01  9.23223047e-01  9.23223047e-01  9.23204028e-01
  9.23223047e-01  9.23223047e-01  9.23223047e-01  9.23223047e-01
  9.23223047e-01  9.23223047e-01  9.23223047e-01  9.23223047e-01
  9.23223047e-01  9.23223047e-01  2.05143464e-03  5.08703068e-01
  5.55146102e-17  9.59461757e-17  1.29147339e-16 -2.31803074e-03
  3.33306707e-01  5.77454169e-01  9.23223047e-01  9.23223047e-01
  9.23223047e-01 -1.52236748e-03 -4.94776658e-03 -6.60618868e-03
 -6.17258952e-03 -5.93512449e-03 -9.10569221e-03 -3.75371818e-03
 -6.01423614e-03  7.35076305e-03 -4.99003847e-03 -4.74680385e-03
 -3.35067631e-03 -3.25739750e-03 -8.12932711e-03 -1.91382690e-03
 -4.50629351e-03 -1.33577303e-02  7.51532505e-03  6.03522003e-03
 -3.76072616e-03 -1.36385595e-03 -1.20993690e-02 -5.94200575e-03
 -9.14665892e-03 -1.33923634e-02 -4.28830007e-03 -1.54679733e-02]","[ 8.77423686e-05  8.32560178e-05  7.79972609e-07 -1.27384262e-06
 -1.27384262e-06  1.14126825e-06 -1.27384262e-06 -9.42277784e-08
  6.69435133e-05 -3.35454920e-05  4.51222332e-05  3.02527122e-07
  6.85119913e-07  2.00024668e-06 -1.12423896e-04 -8.36688195e-05
 -8.40740550e-05 -2.87550767e-05  2.85348629e-05 -8.36688195e-05
 -8.36987869e-05  4.40233941e-05  2.00552203e-07  3.96454254e-05
 -2.02446795e-08  3.96454254e-05 -3.18195318e-06 -3.96454254e-05
 -3.99787034e-05  1.14424143e-04  1.14424143e-04  1.18380685e-04
  4.80722993e-05  4.80722993e-05 -1.49529645e-07  1.45905047e-05
 -3.45169507e-07  1.51723528e-06 -4.20686784e-06 -4.19152103e-06
  3.49990299e-05 -6.79886404e-15  3.94982720e-05 -7.81837956e-09
  1.25519735e-04 -9.94259950e-14  3.34817947e-05 -3.34817961e-05
  3.34817947e-05  2.97041046e-04 -3.49580715e-04 -1.29908546e-05
  3.96888323e-05 -6.44002196e-06  3.22001539e-06  7.84839252e-05
  8.18595255e-06  2.54674079e-06  3.40778173e-06  2.06444539e-05
  2.77716020e-06  5.91814051e-06  1.43144584e-05  8.34780854e-06
  5.57046614e-07 -1.13346643e-07  4.43178845e-07 -1.40304499e-06
  2.82566955e-06  3.95351190e-06  3.95351190e-06  4.86678830e-06
  1.77059122e-06  4.87518952e-06  5.19050028e-06  3.34714504e-06
  2.13441133e-06  1.58868116e-06  6.54876204e-07  1.09146034e-06
  1.77059122e-06  1.09146034e-06  4.15306599e-07  4.52205843e-04
  2.35397616e-20  2.87678521e-20  3.87226642e-20 -2.06570691e-07
  4.56182346e-05  2.26310575e-04  8.44426483e-05  2.82566955e-06
  1.21273371e-05 -3.20388240e-07 -8.92009915e-07 -9.18356983e-07
 -9.52906727e-07 -7.79205387e-07 -1.19329189e-06 -5.02409900e-07
 -8.11194803e-07  1.09656512e-06 -6.21813303e-07 -7.40222999e-07
 -5.84278556e-07 -5.59513706e-07 -1.12085875e-06 -2.58633080e-07
 -6.12822790e-07 -1.47527969e-06  1.03161049e-06  8.41415939e-07
 -5.02216797e-07 -1.78667428e-07 -1.54771187e-06 -7.79933844e-07
 -1.19871849e-06 -1.47926558e-06 -7.47442449e-07 -2.06263046e-06]","[1.50219201 1.50379339 1.50551477 1.50738823 1.509463   1.51182236
 1.51463131 1.51825777 1.52659403 1.52659403 1.53442287 1.53791485
 1.54080674 1.54181101 1.5441198  1.54613325 1.54702102 1.5486392
 1.55023914 1.55178615 1.55310991 1.55436451 1.55564249 1.55693409
 1.55728233 1.55849205 1.55876094 1.55987205 1.56100645 1.56208243
 1.56307932]","{'id': array([], dtype=float64)}"
1,Net flux,v2 net,G6P <-> F6P,1.392907274324454,0.015167648666962226,1.3394393752234353,1.4683516645105357,,0,0.05,"[304.93455348 304.22802728 303.53184698 302.84544389 302.18350193
 301.56069128 301.24030855 300.88690314 300.79400099 300.79400099
 300.80458372 300.80724681 300.94994012 301.14065707 301.55752514
 302.36310089 302.41366143 303.21471396 303.27702455 303.47827732
 304.0409162  304.82866543]",0,"[ 5.86149537e-01  1.00000000e+00 -1.49276736e-02  1.78523936e-01
  1.78523936e-01 -7.39178670e-02  1.78523936e-01  1.76075703e-02
  3.96111499e-01 -2.45071852e-01  3.45103862e-01  1.09957018e-02
 -7.44495153e-02 -7.99913560e-01 -5.47218619e-01 -5.64047941e-01
 -4.84514614e-01 -5.08738013e-01  2.24142142e-01 -5.64047941e-01
 -3.87045716e-01  5.71887358e-01 -9.59636887e-04  5.55800930e-01
 -2.47421886e-03  5.55800930e-01  5.25697533e-01 -5.55800930e-01
 -1.85936243e-01  2.54090277e-01  2.54090277e-01  2.60051047e-01
  4.94442066e-01  4.94442066e-01  2.46884526e-02  1.33578370e-01
  4.93356162e-03  1.10985548e-01  1.01005906e-01  1.06347213e-01
  4.49788407e-01 -7.39779602e-11  4.66023187e-01  2.33390817e-04
  1.71882301e-01  2.12916879e-09  6.35536815e-02 -5.41448763e-02
  6.35536815e-02  4.64456426e-01 -4.47635444e-01  1.93054572e-01
  1.13846961e-01 -7.08123863e-03  2.05516707e-03  5.03058455e-01
  5.03064543e-01  5.03064543e-01  5.03064543e-01  5.03018245e-01
  5.03064543e-01  5.03064543e-01  5.03097919e-01  5.03121768e-01
  5.05172287e-01 -5.07208615e-01  5.03593744e-01 -5.03743801e-01
  5.03064543e-01  5.03064543e-01  5.03064543e-01  5.02868033e-01
  5.03064543e-01  5.03064543e-01  5.03064543e-01  5.03064543e-01
  5.03064543e-01  5.03064543e-01  5.03064543e-01  5.03064543e-01
  5.03064543e-01  5.03064543e-01 -2.62735787e-02  2.81840124e-01
  1.22989299e-15 -5.99914855e-16  3.25210199e-15  3.08550082e-02
  2.98459266e-01  3.12851207e-01  5.03064543e-01  5.03064543e-01
  5.03064543e-01  6.58156740e-03  9.20443696e-03  4.59926252e-02
  9.54276569e-03  2.00803681e-02  1.84060709e-02  1.64762198e-02
  1.76716762e-02  9.16716933e-03 -2.52958413e-02  1.18784589e-02
  9.65704856e-03  9.20777547e-03  1.69130219e-02  3.79545795e-03
  7.75457795e-03  6.79876684e-02  6.75921564e-02  7.65868922e-02
  1.59146416e-02  1.31372364e-02  1.12722649e-02  2.03270033e-02
  1.80559874e-02  6.81211887e-02  9.32901923e-03  2.92542144e-02]","[ 8.32782066e-05  2.30057566e-04 -5.12376135e-06  4.81109560e-05
  4.81109560e-05 -3.96140951e-05  4.81109560e-05  8.00833830e-06
  1.14161674e-04 -6.43629454e-05  9.49073264e-05  5.10479785e-06
 -2.48833096e-05 -1.48972922e-04 -2.60240055e-04 -1.81186889e-04
 -1.96424312e-04 -7.90531667e-05  7.99798482e-05 -1.81186889e-04
 -1.75433995e-04  9.25248491e-05 -4.03507685e-07  8.86620395e-05
 -8.21063320e-07  8.86620395e-05  1.58401673e-04 -8.86620395e-05
 -8.90827168e-05  1.11267134e-04  1.11267134e-04  1.75811930e-04
  1.03183019e-04  1.03183019e-04  9.73475216e-06  6.76834808e-05
  9.62513953e-07  5.61485534e-05  5.10980101e-05  4.15501361e-05
  9.16480912e-05 -3.59166402e-14  9.56179039e-05  8.01122432e-08
  9.67936429e-05  7.30951304e-13  3.54995378e-05 -3.54995531e-05
  3.54995378e-05  5.19057132e-04 -4.84733333e-04  9.18115243e-05
  6.35704296e-05 -1.04761160e-06  5.21543229e-07  6.92478648e-05
  7.22270500e-06  2.24706378e-06  3.00678534e-06  1.82136156e-05
  2.45036955e-06  5.22174821e-06  1.26308592e-05  7.36630975e-06
  4.93384644e-07 -1.00803533e-07  3.91424029e-07 -1.23953653e-06
  2.49317076e-06  3.48829901e-06  3.48829901e-06  4.29252049e-06
  1.56224434e-06  4.30152209e-06  4.57972999e-06  2.95328382e-06
  1.88325345e-06  1.40173979e-06  5.77816400e-07  9.63027334e-07
  1.56224434e-06  9.63027334e-07 -8.61279206e-06  4.05684315e-04
  8.44453372e-19 -2.91261424e-19  1.57891049e-18  4.45234451e-06
  6.61443986e-05  1.98535761e-04  7.45062147e-05  2.49317076e-06
  1.07003037e-05  2.24284873e-06  2.68702242e-06  1.03529077e-05
  2.38545286e-06  4.26881533e-06  3.90578559e-06  3.57081777e-06
  3.85954415e-06  2.21437332e-06 -5.10409591e-06  2.99940403e-06
  2.72675093e-06  2.56099232e-06  3.77599215e-06  8.30537383e-07
  1.70760407e-06  1.21586519e-05  1.50237333e-05  1.72896283e-05
  3.44135891e-06  2.78672737e-06  2.33481332e-06  4.32027746e-06
  3.83168276e-06  1.21838552e-05  2.63294728e-06  6.31669688e-06]","[1.33690735 1.34298659 1.34931396 1.35591856 1.36284269 1.37018436
 1.37543737 1.3837438  1.39290727 1.39290727 1.39555099 1.39626128
 1.40420301 1.41094326 1.42256681 1.43818772 1.43906595 1.45113419
 1.45193039 1.45443288 1.4615609  1.47040126]","{'id': array([], dtype=float64)}"
2,Exch flux,v2 exch,G6P <-> F6P,1.0000000119885072e-07,0.02262968464029035,0.0,inf,,1,0.05,"[300.79400099 300.79400099 300.13674906 300.56879643 300.91631376
 301.22685923 301.39099395 301.2798223  301.24548048 301.24555577
 301.24556793 301.2455719  301.24557362 301.24557463 301.24557522
 301.24557524 301.25799217 300.84234341 300.5643018  300.92059664
 300.99374784 301.37685081 301.47552286 301.70406432 302.13731625
 302.58945649 303.05817846 303.39718655 303.90198524 303.92696379
 303.96057585 304.05730211 304.05766039 304.12349981 304.59770446
 305.10478148]",0,"[ 3.90449446e-03 -1.59523832e-02  1.00000000e+00 -1.06620158e-02
 -1.06620158e-02  5.28663161e-03 -1.06620158e-02 -9.65493322e-05
 -8.51595847e-03  5.05810512e-03 -9.47622522e-03  2.16575024e-07
  5.77484225e-04  2.25918367e-02  2.72275168e-03  2.49859556e-03
  2.02984191e-03  3.16776669e-03 -1.38030622e-03  2.49859556e-03
  1.82165629e-03 -2.38637339e-03 -5.49156854e-05 -2.61110086e-03
  3.91735436e-05 -2.61110086e-03  6.14224505e-03  2.61110086e-03
  8.42673178e-04  6.65114817e-03  6.65114817e-03  3.43034358e-05
 -2.51942251e-03 -2.51942251e-03  5.59419440e-05 -1.50276801e-03
  8.02405717e-05 -1.68476512e-03 -1.76349021e-03 -2.16359920e-03
 -3.02642992e-03  4.47985164e-12 -2.85302345e-03  2.86993402e-06
  5.44344786e-03  3.94780883e-11  4.21925506e-04 -3.59460910e-04
  4.21925506e-04 -2.99039148e-03 -6.75821417e-05 -1.67572158e-03
  4.69580049e-03  8.42490590e-05 -2.45685171e-05  3.96400522e-03
  3.96402573e-03  3.96402573e-03  3.96402573e-03  3.96386974e-03
  3.96402573e-03  3.96402573e-03  3.96413814e-03  3.96421843e-03
  3.96148789e-03 -3.97765705e-03  3.96730832e-03 -3.96630523e-03
  3.96402573e-03  3.96402573e-03  3.96402573e-03  3.96336309e-03
  3.96402573e-03  3.96402573e-03  3.96402573e-03  3.96402573e-03
  3.96402573e-03  3.96402573e-03  3.96402573e-03  3.96402573e-03
  3.96402573e-03  3.96402573e-03 -9.03181586e-05  4.32660893e-03
 -1.64103081e-18 -3.24201165e-18  2.31076171e-18  3.86713020e-04
 -5.82443845e-04  4.88351512e-03  3.96402573e-03  3.96402573e-03
  3.96402573e-03  6.36678904e-05 -8.81824417e-05  2.23932677e-04
  2.44078478e-04 -7.05231820e-05 -7.84414235e-05 -2.59583047e-05
 -1.93842009e-04  4.77711297e-04 -2.15557471e-04 -1.48425251e-04
 -1.95821235e-04 -1.40265933e-04 -2.43964896e-04 -1.30244022e-04
 -2.27571319e-04 -2.82505209e-04 -1.87871680e-03 -1.95284253e-03
  3.97637581e-06 -2.29116335e-04 -4.57638198e-04 -7.94619398e-05
 -6.24048796e-05 -2.83029063e-04 -1.79207742e-04  2.85526131e-04]","[ 8.27652421e-07 -5.47548176e-06  5.12102627e-04 -4.28693695e-06
 -4.28693695e-06  4.22707160e-06 -4.28693695e-06 -6.55167728e-08
 -3.66181714e-06  1.98194030e-06 -3.88817260e-06  1.50011381e-10
  2.87969594e-07  6.27734586e-06  1.93188626e-06  1.19747637e-06
  1.22775247e-06  7.34409883e-07 -7.34839922e-07  1.19747637e-06
  1.23190769e-06 -5.76031891e-07 -3.44509758e-08 -6.21444484e-07
  1.93950829e-08 -6.21444484e-07  2.76128483e-06  6.21444484e-07
  6.02349860e-07  4.34545961e-06  4.34545961e-06  3.46009160e-08
 -7.84429763e-07 -7.84429763e-07  3.29100713e-08 -1.13605336e-06
  2.33561219e-08 -1.27166215e-06 -1.33103817e-06 -1.26119835e-06
 -9.20038560e-07  3.24501886e-15 -8.73368000e-07  1.46976290e-09
  4.57351370e-06  2.02206312e-14  3.51623592e-07 -3.51623126e-07
  3.51623592e-07 -4.98607119e-06 -1.09186919e-07 -1.18899276e-06
  3.91204268e-06  1.85958643e-08 -9.30212913e-09  8.14108696e-07
  8.49127439e-08  2.64172981e-08  3.53488608e-08  2.14137163e-07
  2.88074346e-08  6.13887689e-08  1.48487328e-07  8.65953729e-08
  5.77250988e-09 -1.17944233e-09  4.60069403e-09 -1.45611604e-08
  2.93106212e-08  4.10097104e-08  4.10097104e-08  5.04757115e-08
  1.83663120e-08  5.05702564e-08  5.38409695e-08  3.47198775e-08
  2.21402117e-08  1.64793622e-08  6.79301951e-09  1.13216992e-08
  1.83663120e-08  1.13216992e-08 -4.41733205e-08  9.29165936e-06
 -1.68106817e-21 -2.34837887e-21  1.67382001e-21  8.32553463e-08
 -1.92584933e-07  4.62374302e-06  8.75922127e-07  2.93106212e-08
  1.25796658e-07  3.23706449e-08 -3.84075340e-08  7.52058902e-08
  9.10303699e-08 -2.23680352e-08 -2.48343625e-08 -8.39356923e-09
 -6.31635326e-08  1.72163602e-07 -6.48922779e-08 -5.59168766e-08
 -8.24937570e-08 -5.82057649e-08 -8.12638609e-08 -4.25219372e-08
 -7.47664540e-08 -7.53775430e-08 -6.23021628e-07 -6.57746696e-07
  1.28286445e-09 -7.25114786e-08 -1.41424120e-07 -2.51975135e-08
 -1.97581871e-08 -7.55255306e-08 -7.54611092e-08  9.19830275e-08]","[0.00000000e+00 1.00000001e-07 5.59656319e-01 1.83857718e+00
 4.24349720e+00 1.09721540e+01 4.18556619e+01 5.17181120e+02
 5.31503215e+04 2.74536374e+05 6.58065832e+05 1.32236485e+06
 2.47296729e+06 4.46587100e+06 7.91768294e+06 9.99999862e+06
 9.99999862e+06 9.99999863e+06 9.99999864e+06 9.99999865e+06
 9.99999865e+06 9.99999865e+06 9.99999865e+06 9.99999866e+06
 9.99999866e+06 9.99999866e+06 9.99999867e+06 9.99999867e+06
 9.99999867e+06 9.99999867e+06 9.99999868e+06 9.99999868e+06
 9.99999868e+06 9.99999868e+06 9.99999868e+06 9.99999869e+06]","{'id': array([], dtype=float64)}"
3,Net flux,v3,F6P + ATP -> FBP,1.3929056192294056,0.017767620590394186,,1.4697320429832639,,1,0.05,"[270.83357244 270.12342023 269.39021852 269.27739134 268.5229574
 268.34801504 267.53182486 266.7867117  266.00512391 265.24574517
 264.49710193 263.74652317 263.70680117 262.96155223 266.52621376
 265.76838391 265.01214402 264.97160685 264.21829799 263.46341228
 262.70716653 262.21693565 261.51940073 261.15672234 269.34727195
 268.57841102 267.81314779 267.34942208 266.5730777  266.48927556
 266.43692261 265.89903065 267.6959932  268.93964939 268.89198057
 268.12517423 267.36062137 266.59679768 266.51205191 266.84899354
 266.44472887 265.67672219 264.9111075  264.77457187 264.78890298
 264.02657717 263.49741956 262.73610294 261.97126248 263.55210786
 262.78565414 262.20749304 261.71539624 261.48035645 261.09012084
 260.7165867  260.47027755 259.88149719 259.11835711 284.32926808
 283.55913989 283.27646718 282.47094741 282.07024234 282.69035488
 282.54213773 281.87367398 281.07577309 280.20513865 280.31872745
 279.92129014 279.78856738 280.19364811 279.42170343 278.85610984
 278.9385429  278.16782011 278.02862795 278.06840192 277.87187908
 277.81423415 277.86051163 277.10076781 277.347179   276.56567072
 275.80915894 275.34840517 276.71398667 275.90542132 275.34411601
 276.56407163 275.85622962 275.11898146 274.41643488 273.71922699
 273.03086019 272.35049693 272.41743599 274.32410662 275.25920367
 300.79400099 300.79400099 300.7175933  300.84635906 301.74290825
 302.56098438 302.62577518 303.42300539 303.59046168 304.15846562
 304.59924365 304.6537102 ]",1,"[-8.45017937e-03  1.77578370e-01 -1.60775157e-03  1.00000000e+00
  1.00000000e+00 -4.95355948e-01  1.00000000e+00  4.22697821e-03
  9.22434627e-01 -5.61109644e-01  9.56772195e-01  1.75813838e-02
  2.03271724e-02 -2.27478110e-01  7.24935322e-01  7.12107394e-01
  5.26887905e-01  7.46564000e-01 -3.31459964e-01  7.12107394e-01
  5.18131399e-01 -7.05241433e-01  1.81906466e-03 -7.18697035e-01
  3.31277760e-03 -7.18697035e-01  1.40289095e-01  7.18697035e-01
  2.41098724e-01 -8.84032318e-01 -8.84032318e-01 -5.43015512e-01
 -6.61855986e-01 -6.61855986e-01  6.46719067e-03  1.88797093e-01
 -9.28024545e-03  1.85859402e-01  1.84451012e-01  2.45625146e-01
 -6.85884231e-01 -4.55835059e-11 -6.78394856e-01  3.34798172e-05
 -6.94997038e-01 -2.07852703e-10 -4.18533200e-01  3.56571269e-01
 -4.18533200e-01 -3.33669655e-01  3.61353596e-01  3.97458348e-01
 -1.20592127e-01 -4.20520791e-03  1.22756343e-03  7.12913863e-02
  7.12903739e-02  7.12903739e-02  7.12903739e-02  7.12980700e-02
  7.12903739e-02  7.12903739e-02  7.12848227e-02  7.12808540e-02
  6.98210628e-02 -7.05788924e-02  7.13212280e-02 -7.11768386e-02
  7.12903739e-02  7.12903739e-02  7.12903739e-02  7.13230024e-02
  7.12903739e-02  7.12903739e-02  7.12903739e-02  7.12903739e-02
  7.12903739e-02  7.12903739e-02  7.12903739e-02  7.12903739e-02
  7.12903739e-02  7.12903739e-02 -7.95877479e-03 -6.87729082e-02
 -8.48447942e-15 -1.26551442e-14 -9.28683276e-15  1.08999085e-03
 -3.05441780e-01 -8.00515258e-02  7.12903739e-02  7.12903739e-02
  7.12903739e-02  2.85812760e-03  6.11547798e-03 -3.02115966e-03
  4.97794594e-03  7.56858422e-03  5.03658431e-03  6.58086598e-03
  4.41239496e-03 -2.26835345e-03  5.45752324e-04  4.11841432e-03
  3.62925626e-03  2.83914267e-03  4.19853972e-03  2.30001322e-04
 -3.96175618e-04 -4.02307911e-02 -2.73435668e-02 -2.80022656e-02
  6.67046203e-03 -3.71231835e-03  3.21720874e-03  7.57322425e-03
  5.05481317e-03 -4.03382248e-02  3.59447022e-03  1.16241682e-02]","[-1.40637092e-06  4.78561324e-05 -6.46437758e-07  3.15688341e-04
  3.15688341e-04 -3.10977314e-04  3.15688341e-04  2.25208097e-06
  3.11422141e-04 -1.72624018e-04  3.08226147e-04  9.56135979e-06
  7.95855548e-06 -4.96266431e-05  4.03853219e-04  2.67958326e-04
  2.50217453e-04  1.35894894e-04 -1.38547645e-04  2.67958326e-04
  2.75107488e-04 -1.33658542e-04  8.95991777e-07 -1.34299784e-04
  1.28778046e-06 -1.34299784e-04  4.95175046e-05  1.34299784e-04
  1.35311692e-04 -4.53479862e-04 -4.53479862e-04 -4.30044088e-04
 -1.61795832e-04 -1.61795832e-04  2.98715463e-06  1.12060578e-04
 -2.12088417e-06  1.10145736e-04  1.09307326e-04  1.12416530e-04
 -1.63710674e-04 -2.59246014e-14 -1.63051670e-04  1.34619886e-08
 -4.58468646e-04 -8.35882132e-14 -2.73856410e-04  2.73856389e-04
 -2.73856410e-04 -4.36815369e-04  4.58375936e-04  2.21421475e-04
 -7.88794137e-05 -7.28768431e-07  3.64920390e-07  1.14957154e-05
  1.19899693e-06  3.73021268e-07  4.99137983e-07  3.02413528e-06
  4.06770812e-07  8.66830376e-07  2.09646906e-06  1.22253352e-06
  7.98810155e-08 -1.64314157e-08  6.49377116e-08 -2.05163132e-07
  4.13875979e-07  5.79071112e-07  5.79071112e-07  7.13179705e-07
  2.59338596e-07  7.14069285e-07  7.60252871e-07  4.90256524e-07
  3.12627349e-07  2.32694220e-07  9.59197547e-08  1.59866258e-07
  2.59338596e-07  1.59866258e-07 -3.05620131e-06 -1.15961493e-04
 -6.82408710e-18 -7.19733072e-18 -5.28167882e-18  1.84245530e-07
 -7.92953022e-05 -5.95088470e-05  1.23683195e-05  4.13875979e-07
  1.77629175e-06  1.14094123e-06  2.09129587e-06 -7.96633987e-07
  1.45766513e-06  1.88478300e-06  1.25197146e-06  1.67072190e-06
  1.12886929e-06 -6.41855585e-07  1.28996018e-07  1.21819249e-06
  1.20041027e-06  9.25021407e-07  1.09804250e-06  5.89571314e-08
 -1.02194558e-07 -8.42800647e-06 -7.11947124e-06 -7.40517612e-06
  1.68966277e-06 -9.22458187e-07  7.80604817e-07  1.88551551e-06
  1.25656344e-06 -8.45143204e-06  1.18837108e-06  2.94018388e-06]","[1.17052902 1.1716523  1.17276521 1.17292213 1.17404311 1.17430237
 1.17554378 1.17668413 1.17790029 1.17905874 1.1802273  1.1814058
 1.18146928 1.18265971 1.18279784 1.18400724 1.18522022 1.18528294
 1.18650582 1.1877387  1.1889937  1.19026274 1.19154274 1.19216227
 1.19346225 1.1947796  1.19611699 1.19717793 1.19859152 1.1987883
 1.19888629 1.20038808 1.20181093 1.20323726 1.2033266  1.20475941
 1.20621156 1.20763715 1.20914538 1.21071122 1.21154632 1.21315326
 1.21478798 1.21508241 1.21540529 1.21690949 1.21860685 1.22014923
 1.22171107 1.22199295 1.22380838 1.22520209 1.22640703 1.22831867
 1.23026915 1.23136591 1.23338923 1.2354594  1.23757764 1.23978438
 1.2420414  1.24288427 1.24532231 1.24655098 1.24897683 1.24946665
 1.25163976 1.25431394 1.25730628 1.26007034 1.26153319 1.26202558
 1.26493943 1.26799312 1.27114604 1.27187064 1.27519583 1.27582212
 1.27628357 1.27718244 1.2783555  1.27873825 1.28242026 1.28424002
 1.28842745 1.29277738 1.29561509 1.30051535 1.30646993 1.31117312
 1.31931241 1.32793278 1.33480181 1.34020155 1.34542484 1.3509859
 1.35675772 1.3628009  1.37036231 1.37709609 1.39290562 1.39290562
 1.39554979 1.40307398 1.42748615 1.44268344 1.44372601 1.45521951
 1.45739982 1.46436414 1.46934169 1.46992681]","{'id': array([], dtype=float64)}"
