Reaction,Diff
GLCpts,4.6
PGI,4.2
PFK,4.4
FBA,4.4
TPI,4.4
GAPD,5.1
PGK,5.1
PGM,5.1
ENO,5.1
PPS,3.3
G6PDH2r,2.5
PGL,3.3
GND,3.3
RPE,2.6
RPI,2.7
TKT1,2.6
TALA,1.6
TALA,2.1
TALA,2.1
PDH,4.7
CS,2.6
ACONTa,2.6
ACONTb,2.6
ICDHyr,2.2
AKGDH,-8.9
SUCOAS,1.3
SUCDi,1.6
FUM,2.0
MDH,2.5
ICL,1.6
MALS,1.6
ME2,-18.8
ME1,-16.1
PPC,3.3
PPCK,1.2
PTAr,3.3
ACKr,3.3
GLUDy,4.0
GLNS,1.7
NADTRHD,5.5
ACt2R,3.4
CO2t,4.9
O2t,4.8
NH4t,4.0
,
,
,
,
,
,
,
,
,
,
,
