SA04,1215.73
SA05,383.81
SA06,266.78
SA07,289.49
SA09,498.11
SA10,279.16
SA11,257.85
SA12,295.68
SA13,325.64
SA14,324.50
SA15,275.48
SA16,324.26
SA17,259.20
SA18,279.07
SA19,294.22
SA20,293.21
SA21,265.90
SA22,272.61
SA23,290.04
SA26,280.92
SA27,345.35
SA28,279.79
SA29,290.92
SA30,300.79
SA31,272.81
SA32,279.90
SA33,289.48
SA34,409.29
SA35,201.63
SA36,274.34
SA37,269.68
SA38,271.82
SA39,417.67
SA40,582.44
SA41,178.32
SA42,480.19
SA43,264.87
SA44,298.71
SA45,314.35
SA46,281.04
SA47,282.34
SA48,302.42
SA49,270.91
SA50,281.41
SA51,277.06
