component_name,component_group_name,meta_value,ID_11_rep1,ID_11_rep2,ID_13_rep1,ID_13_rep2,ID_15_rep1,ID_15_rep2,ID_17_rep1,ID_17_rep2,ID_19_rep1,ID_19_rep2,ID_1_rep1,ID_1_rep2,ID_21_rep1,ID_21_rep2,ID_23_rep1,ID_23_rep2,ID_25_rep1,ID_25_rep2,ID_27_rep1,ID_27_rep2,ID_29_rep1,ID_29_rep2,ID_31_rep1,ID_31_rep2,ID_33_rep1,ID_33_rep2,ID_35_rep1,ID_35_rep2,ID_37_rep1,ID_37_rep2,ID_39_rep1,ID_39_rep2,ID_3_rep1,ID_3_rep2,ID_41_rep1,ID_41_rep2,ID_43_rep1,ID_43_rep2,ID_45_rep1,ID_45_rep2,ID_47_rep1,ID_47_rep2,ID_49_rep1,ID_49_rep2,ID_51_rep1,ID_51_rep2,ID_5_rep1,ID_5_rep2,ID_7_rep1,ID_7_rep2,ID_9_rep1,ID_9_rep2
Ala_262,Ala_260,RT,261.609711,261.579773,261.624207,261.547424,261.607056,261.636383,261.590546,261.532776,261.677521,261.638092,262.189758,261.585114,261.570709,261.561737,261.603760,261.619812,261.595856,261.622559,261.630676,261.638000,261.609039,261.633057,261.526978,261.586060,261.605225,261.530090,261.598846,261.596222,261.546783,261.561279,261.562500,261.550262,261.643341,261.613953,261.612701,261.583405,261.470337,261.485504,261.576874,261.583893,261.590424,261.476959,261.487518,261.507568,261.528259,261.511414,261.548279,261.626740,261.588165,261.550232,261.616577,261.616760
Ala_262,Ala_260,peak_apex_int,472688.593750,401516.218750,753626.937500,680896.687500,781335.937500,714493.000000,839428.625000,746143.875000,670516.312500,571998.687500,566252.687500,537265.687500,558416.375000,526161.875000,182394.843750,160779.593750,377617.875000,373335.000000,93289.179688,79784.476562,408137.593750,394475.500000,691620.187500,671666.312500,193165.671875,175956.203125,482152.781250,465183.687500,596886.875000,599501.937500,48215.613281,36075.968750,228466.093750,207506.937500,320882.156250,328553.968750,682432.187500,673171.812500,255660.125000,235538.718750,598265.937500,597490.125000,533329.750000,539281.625000,570791.125000,548390.875000,248417.937500,218999.125000,773868.812500,735966.687500,104221.898438,83437.429688
Ala_263,Ala_260,RT,261.609711,261.579773,261.624207,261.547424,261.607056,261.636383,261.590546,261.532776,261.677521,261.638092,262.189758,261.585114,261.570709,261.561737,261.603760,261.619812,261.595856,261.622559,261.630676,261.638000,261.609039,261.633057,261.526978,261.586060,261.605225,261.530090,261.598846,261.596222,261.546783,261.561279,261.562500,261.550262,261.643341,261.613953,261.612701,261.583405,261.470337,261.485504,261.576874,261.583893,261.590424,261.476959,261.487518,261.507568,261.528259,261.511414,261.548279,261.626740,261.588165,261.550232,261.616577,261.616760
Ala_263,Ala_260,peak_apex_int,150263.171875,126553.421875,238995.390625,219394.250000,245768.546875,228063.171875,265368.781250,235815.984375,213932.156250,183176.250000,87195.031250,80383.656250,176370.968750,165879.765625,56679.476562,51166.257812,123127.054688,117018.765625,29576.179688,25338.414062,129608.742188,126517.421875,222898.703125,212551.093750,62055.808594,55047.285156,152744.390625,148821.875000,189167.437500,191610.343750,15617.257812,11969.324219,71867.539062,64988.730469,101860.648438,104139.328125,219089.656250,212868.609375,81413.796875,75561.296875,191085.234375,192242.796875,171921.296875,174474.640625,183636.156250,175151.390625,78004.484375,68575.492188,246417.156250,236207.281250,33189.136719,25863.007812
Asp_302,Asp_302,RT,727.457703,727.380066,727.377319,727.379333,727.516541,727.425049,727.553467,727.382324,727.408875,727.420593,727.946594,727.342896,727.406006,727.380371,727.343506,727.409729,727.476318,727.473206,727.290894,727.299805,727.449646,727.483643,727.456909,727.428589,727.411987,727.436523,727.330750,727.419739,727.397827,727.445068,727.173096,727.267029,727.407654,727.408386,727.453064,727.348511,727.330688,727.321411,727.339722,727.366333,727.352661,727.406189,727.335022,727.313843,727.327271,727.352844,727.270935,727.372498,727.462830,727.358948,727.356323,727.358521
Asp_302,Asp_302,peak_apex_int,1488469.500000,1330623.750000,2935975.250000,2839823.250000,3206090.250000,3047661.000000,3334332.500000,3213185.500000,2627473.500000,2420855.500000,4900895.500000,4784829.500000,2138793.250000,2065980.250000,473104.031250,423255.187500,1309207.000000,1275381.750000,158353.187500,138635.578125,1331831.000000,1321147.875000,2717521.750000,2687486.500000,479570.937500,434650.125000,1669241.750000,1669651.250000,2324659.500000,2345617.000000,65365.332031,50032.753906,424555.562500,405537.906250,945719.187500,984355.187500,2614650.500000,2680902.000000,663901.937500,622970.625000,2317949.500000,2264955.000000,1959718.000000,1950117.125000,2197068.250000,2153784.000000,475678.000000,446171.625000,3173373.000000,3081758.500000,158773.984375,132215.578125
Asp_303,Asp_302,RT,727.457703,727.380066,727.377319,727.379333,727.516541,727.425049,727.553467,727.382324,727.408875,727.420593,727.946594,727.342896,727.406006,727.380371,727.343506,727.409729,727.476318,727.473206,727.290894,727.299805,727.449646,727.483643,727.456909,727.428589,727.411987,727.436523,727.330750,727.419739,727.397827,727.445068,727.173096,727.267029,727.407654,727.408386,727.453064,727.348511,727.330688,727.321411,727.339722,727.366333,727.352661,727.406189,727.335022,727.313843,727.327271,727.352844,727.270935,727.372498,727.462830,727.358948,727.356323,727.358521
Asp_303,Asp_302,peak_apex_int,889100.812500,785090.062500,1760178.750000,1696632.375000,1899334.125000,1832038.125000,2038732.500000,1953735.375000,1590828.000000,1468181.750000,1373597.375000,1325361.625000,1305372.500000,1237727.375000,286644.093750,255516.671875,797170.937500,772256.875000,96097.796875,85184.718750,803584.750000,789369.625000,1609618.500000,1592868.500000,285429.968750,251349.375000,972395.000000,969963.000000,1382069.250000,1376198.500000,37292.679688,29383.509766,236428.375000,227505.484375,554942.875000,565754.187500,1521108.250000,1554058.000000,380887.281250,350646.656250,1366210.250000,1348615.250000,1113499.125000,1104657.250000,1244833.625000,1211347.000000,278697.468750,258879.062500,1911758.875000,1855491.375000,93091.828125,78386.757812
Asp_304,Asp_302,RT,727.457703,727.380066,727.377319,727.379333,727.516541,727.425049,727.553467,727.382324,727.408875,727.420593,727.946594,727.342896,727.406006,727.380371,727.343506,727.409729,727.476318,727.473206,727.290894,727.299805,727.449646,727.483643,727.456909,727.428589,727.411987,727.436523,727.330750,727.419739,727.397827,727.445068,727.173096,727.267029,727.407654,727.408386,727.453064,727.348511,727.330688,727.321411,727.339722,727.366333,727.352661,727.406189,727.335022,727.313843,727.327271,727.352844,727.270935,727.372498,727.462830,727.358948,727.356323,727.358521
Asp_304,Asp_302,peak_apex_int,316125.468750,279065.125000,625361.625000,608287.812500,681725.250000,656732.937500,731899.437500,700371.437500,561990.375000,519110.468750,552266.687500,529160.812500,455594.187500,439784.718750,99379.164062,91150.382812,280014.062500,270678.718750,33876.484375,30010.466797,283758.187500,278166.093750,576970.562500,568876.375000,99864.250000,90160.195312,344199.875000,345995.781250,487204.875000,495291.375000,13791.175781,10640.886719,85065.093750,81990.257812,196306.843750,202820.718750,551152.000000,550876.625000,135121.781250,124463.359375,483479.281250,476880.437500,396560.656250,396436.343750,443127.093750,430892.156250,99373.656250,91539.671875,681035.000000,662902.187500,33989.503906,27272.111328
